x(mm) y(mm) z(mm) px py pz E(MeV)
0.599227 100.000000 -5.431680 0.000000 -1.000000 0.000000 1.000000
-0.592210 100.000000 5.275133 0.000000 -1.000000 0.000000 1.000000
0.576600 100.000000 -4.922264 0.000000 -1.000000 0.000000 1.000000
-0.569331 100.000000 4.772611 0.000000 -1.000000 0.000000 1.000000
-0.614320 100.000000 5.796288 0.000000 -1.000000 0.000000 1.000000
-0.828479 100.000000 -5.675268 0.000000 -1.000000 0.000000 1.000000
0.621093 100.000000 -5.957974 0.000000 -1.000000 0.000000 1.000000
0.836141 100.000000 5.519247 0.000000 -1.000000 0.000000 1.000000
-0.855369 100.000000 -5.158386 0.000000 -1.000000 0.000000 1.000000
0.862449 100.000000 5.005482 0.000000 -1.000000 0.000000 1.000000
0.807655 100.000000 6.043911 0.000000 -1.000000 0.000000 1.000000
0.553390 100.000000 -4.439325 0.000000 -1.000000 0.000000 1.000000
-0.880272 100.000000 -4.660599 0.000000 -1.000000 0.000000 1.000000
-0.799224 100.000000 -6.204800 0.000000 -1.000000 0.000000 1.000000
-1.321307 100.000000 5.414785 0.000000 -1.000000 0.000000 1.000000
0.886924 100.000000 4.514370 0.000000 -1.000000 0.000000 1.000000
-0.635720 100.000000 6.329565 0.000000 -1.000000 0.000000 1.000000
1.307028 100.000000 -5.058764 0.000000 -1.000000 0.000000 1.000000
-1.300087 100.000000 4.906888 0.000000 -1.000000 0.000000 1.000000
-0.545907 100.000000 4.293488 0.000000 -1.000000 0.000000 1.000000
1.327598 100.000000 -5.574036 0.000000 -1.000000 0.000000 1.000000
0.642278 100.000000 -6.494543 0.000000 -1.000000 0.000000 1.000000
-1.340220 100.000000 5.940159 0.000000 -1.000000 0.000000 1.000000
-1.561166 100.000000 -5.531721 0.000000 -1.000000 0.000000 1.000000
0.776986 100.000000 6.578525 0.000000 -1.000000 0.000000 1.000000
1.569117 100.000000 5.378181 0.000000 -1.000000 0.000000 1.000000
1.284442 100.000000 -4.569852 0.000000 -1.000000 0.000000 1.000000
-1.589806 100.000000 -5.019609 0.000000 -1.000000 0.000000 1.000000
1.345795 100.000000 -6.104061 0.000000 -1.000000 0.000000 1.000000
-0.902992 100.000000 -4.188764 0.000000 -1.000000 0.000000 1.000000
-1.276837 100.000000 4.420693 0.000000 -1.000000 0.000000 1.000000
1.537930 100.000000 5.898528 0.000000 -1.000000 0.000000 1.000000
0.530080 100.000000 -3.975977 0.000000 -1.000000 0.000000 1.000000
-1.528582 100.000000 -6.057768 0.000000 -1.000000 0.000000 1.000000
-0.767908 100.000000 -6.742281 0.000000 -1.000000 0.000000 1.000000
1.597134 100.000000 4.868066 0.000000 -1.000000 0.000000 1.000000
0.908837 100.000000 4.049094 0.000000 -1.000000 0.000000 1.000000
-0.656208 100.000000 6.868453 0.000000 -1.000000 0.000000 1.000000
-1.615608 100.000000 -4.527679 0.000000 -1.000000 0.000000 1.000000
-1.357051 100.000000 6.476448 0.000000 -1.000000 0.000000 1.000000
-0.522601 100.000000 3.835764 0.000000 -1.000000 0.000000 1.000000
-0.316331 100.000000 4.731740 0.000000 -1.000000 0.000000 1.000000
-0.294199 100.000000 4.267799 0.000000 -1.000000 0.000000 1.000000
0.306673 100.000000 -4.522720 0.000000 -1.000000 0.000000 1.000000
1.260361 100.000000 -4.098719 0.000000 -1.000000 0.000000 1.000000
1.502961 100.000000 6.431105 0.000000 -1.000000 0.000000 1.000000
0.284400 100.000000 -4.061675 0.000000 -1.000000 0.000000 1.000000
0.662456 100.000000 -7.037184 0.000000 -1.000000 0.000000 1.000000
1.362024 100.000000 -6.643742 0.000000 -1.000000 0.000000 1.000000
1.622030 100.000000 4.383776 0.000000 -1.000000 0.000000 1.000000
-0.271794 100.000000 3.815791 0.000000 -1.000000 0.000000 1.000000
0.328595 100.000000 -4.989185 0.000000 -1.000000 0.000000 1.000000
-1.492587 100.000000 -6.593314 0.000000 -1.000000 0.000000 1.000000
-1.252446 100.000000 3.955824 0.000000 -1.000000 0.000000 1.000000
-1.028659 100.000000 4.389922 0.000000 -1.000000 0.000000 1.000000
-0.338154 100.000000 5.200730 0.000000 -1.000000 0.000000 1.000000
0.261887 100.000000 -3.614812 0.000000 -1.000000 0.000000 1.000000
-0.923176 100.000000 -3.741315 0.000000 -1.000000 0.000000 1.000000
0.744186 100.000000 7.120326 0.000000 -1.000000 0.000000 1.000000
1.019796 100.000000 -4.191774 0.000000 -1.000000 0.000000 1.000000
1.040659 100.000000 -4.655012 0.000000 -1.000000 0.000000 1.000000
-1.007029 100.000000 3.934400 0.000000 -1.000000 0.000000 1.000000
1.146183 100.000000 4.487337 0.000000 -1.000000 0.000000 1.000000
0.506960 100.000000 -3.536411 0.000000 -1.000000 0.000000 1.000000
