Energy(KeV) X(cm) Y(cm) Z(cm) px py pz
60.449 0.373365 0.368144 0.548261 21.4561 30.1225 47.8158
60.3348 -0.333756 0.439619 0.538216 -44.7604 16.6302 36.8814
53.3135 -0.293136 0.673737 0.505313 -26.3939 37.9076 26.6216
49.5253 0.101517 0.315714 0.555629 7.07638 19.2484 45.0797
63.052 0.178508 0.231118 0.567519 33.9975 25.1875 46.7473
66.7353 -0.776708 0.184414 0.574082 -57.334 -2.53043 34.0588
50.2966 -0.419755 0.479092 0.532668 -21.7588 32.2705 31.8577
66.6963 -0.252 -0.191488 0.626912 -42.9734 -10.2297 49.9705
30.3159 0.00208462 0.457317 0.535728 -7.75483 12.7497 26.3887
41.5234 0.231487 0.141399 0.580128 15.7201 -13.1638 36.108
66.6157 0.0202418 0.418957 0.541119 2.49561 26.3779 61.1198
61.8851 0.206143 0.156806 0.577962 28.6841 -16.8691 52.1769
36.9371 -0.426527 0.383152 0.546152 -26.5313 8.53117 24.2416
69.0819 0.896725 -0.375009 0.652704 57.1134 -16.2852 35.2868
38.9488 0.476549 0.424397 0.540355 27.1062 9.68334 26.2392
47.9181 -0.386954 -0.339299 0.647685 -12.2209 -31.4087 34.0631
61.3201 0.388546 0.60866 0.514458 34.0585 36.6885 35.4137
60.9735 -0.164455 -0.410805 0.657735 -6.36881 -27.8169 53.8834
42.99 0.103676 0.0389623 0.594524 18.1548 -18.1933 34.4608
63.1533 0.535431 -0.0417206 0.605863 48.6881 -8.40691 39.3336
55.2509 -0.0225883 0.673033 0.505411 5.31893 46.1764 29.8682
50.3104 -0.175293 -0.0879753 0.612364 -9.49223 -29.958 39.2881
56.7717 -1.31841 -0.177976 0.625013 -50.1724 -16.3253 20.9583
68.1066 -0.335975 -0.329304 0.646281 -12.0084 -27.1826 61.2814
35.4647 -0.00325316 0.301011 0.557696 7.95929 2.69932 34.4544
50.3228 0.327023 -0.102143 0.614355 39.9301 6.08765 30.0153
41.4482 0.0464688 0.348891 0.550967 10.0306 5.99015 39.7676
30.4592 0.31375 0.169286 0.576208 21.4449 -5.50318 20.9187
52.8516 -0.418493 0.0957006 0.58655 -36.1288 -15.1241 35.4861
49.1468 0.179947 -0.185876 0.626123 -8.50438 -30.5249 37.5674
50.7718 -0.615852 0.196489 0.572385 -39.4469 4.83595 31.5965
53.0959 -0.69754 -0.240752 0.633836 -39.466 -20.9028 28.7172
54.6588 0.272191 0.438422 0.538384 18.9611 30.5048 41.2009
48.9631 -0.159581 -0.340446 0.647847 -12.6184 -7.88778 46.647
49.1286 -1.5756 -0.329689 0.646335 -43.7126 -16.3701 15.3249
56.3844 0.240965 -0.0180423 0.602536 8.74814 -26.7775 48.843
46.3364 -0.122303 0.119638 0.583186 -31.7831 3.19133 33.5665
50.4057 0.469716 0.618284 0.513106 27.4885 35.2242 23.3319
53.9012 -0.054965 0.356991 0.549828 -23.8958 11.306 46.9735
58.6801 -0.319897 0.20577 0.571081 -40.4277 -0.467003 42.5293
44.9587 -0.0517938 0.0408151 0.594264 14.4043 -14.7019 39.9706
55.6499 0.0343579 0.218449 0.569299 10.1181 -8.61426 54.04
45.6573 -0.181041 0.477074 0.532952 -22.3029 20.8522 33.9463
69.2986 -0.406376 -0.00717002 0.601008 -33.3165 -15.9415 58.636
58.3512 -0.501706 -0.196692 0.627643 -37.315 -22.3944 38.8709
55.2542 0.298288 0.280583 0.560567 19.7701 28.2007 43.2075
53.3429 0.302901 0.0795671 0.588818 13.8594 -0.981671 51.5016
58.3503 0.219641 0.384285 0.545992 15.5653 25.6335 50.054
57.7988 0.839186 0.118834 0.583299 49.7071 10.9021 27.4054
47.0987 0.20098 0.0353951 0.595026 5.64973 -11.5277 45.3154
54.7377 0.166516 -0.432696 0.660811 39.1722 -29.7022 24.0735
66.928 -0.034616 0.183553 0.574203 -16.6455 30.859 57.0088
38.0262 -0.344273 0.259421 0.563541 -27.8685 4.33265 25.5062
72.5528 0.20436 0.140504 0.580253 12.8501 32.9296 63.3595
38.212 1.22286 -0.502067 0.670561 33.2487 -15.7438 10.3352
51.8873 0.0542424 -0.273822 0.638483 -11.8576 -35.3263 36.1074
61.77 -0.0348624 0.302326 0.557511 -15.8987 37.8718 46.1355
40.1962 0.35713 -0.0300149 0.604218 23.0502 -15.3631 29.1273
39.8609 0.11757 0.336888 0.552653 4.75047 7.66344 38.8278
39.0839 0.0543444 0.222499 0.56873 15.3375 -2.22007 35.8802
56.5394 0.44552 0.186239 0.573826 31.852 0.698591 46.7083
39.3287 0.203881 -0.145165 0.620402 1.72011 0.945547 39.2796
48.9045 0.477199 0.25525 0.564127 23.3756 20.7423 37.6163
44.046 0.161875 0.107208 0.584933 26.3764 -6.66084 34.6406
