x(mm) y(mm) z(mm) px py pz E(MeV)
0.599227 0.000000 -5.431680 0.000000 -1.000000 0.000000 1.000000
-0.592210 0.000000 5.275133 0.000000 -1.000000 0.000000 1.000000
0.576600 0.000000 -4.922264 0.000000 -1.000000 0.000000 1.000000
-0.569331 0.000000 4.772611 0.000000 -1.000000 0.000000 1.000000
-0.614320 0.000000 5.796288 0.000000 -1.000000 0.000000 1.000000
-0.828479 0.000000 -5.675268 0.000000 -1.000000 0.000000 1.000000
0.621093 0.000000 -5.957974 0.000000 -1.000000 0.000000 1.000000
0.836141 0.000000 5.519247 0.000000 -1.000000 0.000000 1.000000
-0.855369 0.000000 -5.158386 0.000000 -1.000000 0.000000 1.000000
0.862449 0.000000 5.005482 0.000000 -1.000000 0.000000 1.000000
0.807655 0.000000 6.043911 0.000000 -1.000000 0.000000 1.000000
0.553390 0.000000 -4.439325 0.000000 -1.000000 0.000000 1.000000
-0.880272 0.000000 -4.660599 0.000000 -1.000000 0.000000 1.000000
-0.799224 0.000000 -6.204800 0.000000 -1.000000 0.000000 1.000000
-1.321307 0.000000 5.414785 0.000000 -1.000000 0.000000 1.000000
0.886924 0.000000 4.514370 0.000000 -1.000000 0.000000 1.000000
-0.635720 0.000000 6.329565 0.000000 -1.000000 0.000000 1.000000
1.307028 0.000000 -5.058764 0.000000 -1.000000 0.000000 1.000000
-1.300087 0.000000 4.906888 0.000000 -1.000000 0.000000 1.000000
-0.545907 0.000000 4.293488 0.000000 -1.000000 0.000000 1.000000
1.327598 0.000000 -5.574036 0.000000 -1.000000 0.000000 1.000000
0.642278 0.000000 -6.494543 0.000000 -1.000000 0.000000 1.000000
-1.340220 0.000000 5.940159 0.000000 -1.000000 0.000000 1.000000
-1.561166 0.000000 -5.531721 0.000000 -1.000000 0.000000 1.000000
0.776986 0.000000 6.578525 0.000000 -1.000000 0.000000 1.000000
1.569117 0.000000 5.378181 0.000000 -1.000000 0.000000 1.000000
1.284442 0.000000 -4.569852 0.000000 -1.000000 0.000000 1.000000
-1.589806 0.000000 -5.019609 0.000000 -1.000000 0.000000 1.000000
1.345795 0.000000 -6.104061 0.000000 -1.000000 0.000000 1.000000
-0.902992 0.000000 -4.188764 0.000000 -1.000000 0.000000 1.000000
-1.276837 0.000000 4.420693 0.000000 -1.000000 0.000000 1.000000
1.537930 0.000000 5.898528 0.000000 -1.000000 0.000000 1.000000
0.530080 0.000000 -3.975977 0.000000 -1.000000 0.000000 1.000000
-1.528582 0.000000 -6.057768 0.000000 -1.000000 0.000000 1.000000
-0.767908 0.000000 -6.742281 0.000000 -1.000000 0.000000 1.000000
1.597134 0.000000 4.868066 0.000000 -1.000000 0.000000 1.000000
0.908837 0.000000 4.049094 0.000000 -1.000000 0.000000 1.000000
-0.656208 0.000000 6.868453 0.000000 -1.000000 0.000000 1.000000
-1.615608 0.000000 -4.527679 0.000000 -1.000000 0.000000 1.000000
-1.357051 0.000000 6.476448 0.000000 -1.000000 0.000000 1.000000
-0.522601 0.000000 3.835764 0.000000 -1.000000 0.000000 1.000000
-0.316331 0.000000 4.731740 0.000000 -1.000000 0.000000 1.000000
-0.294199 0.000000 4.267799 0.000000 -1.000000 0.000000 1.000000
0.306673 0.000000 -4.522720 0.000000 -1.000000 0.000000 1.000000
1.260361 0.000000 -4.098719 0.000000 -1.000000 0.000000 1.000000
