x(mm) y(mm) z(mm) px py pz E(MeV)
100.000000 -0.516173 0.295343 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.203895 -1.118637 -1.000000 0.000000 0.000000 1.000000
100.000000 0.775914 -0.188320 -1.000000 0.000000 0.000000 1.000000
100.000000 0.904751 -1.008995 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.286691 -2.309247 -1.000000 0.000000 0.000000 1.000000
100.000000 0.092922 -0.250809 -1.000000 0.000000 0.000000 1.000000
100.000000 0.651288 -0.574356 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.095278 -0.741587 -1.000000 0.000000 0.000000 1.000000
100.000000 1.731408 -2.299736 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.001581 -1.147190 -1.000000 0.000000 0.000000 1.000000
100.000000 2.333009 1.902870 -1.000000 0.000000 0.000000 1.000000
100.000000 1.222283 0.748419 -1.000000 0.000000 0.000000 1.000000
100.000000 1.361322 0.206850 -1.000000 0.000000 0.000000 1.000000
100.000000 0.110745 0.403268 -1.000000 0.000000 0.000000 1.000000
100.000000 1.806135 -0.576459 -1.000000 0.000000 0.000000 1.000000
100.000000 2.723275 -0.598694 -1.000000 0.000000 0.000000 1.000000
100.000000 0.006231 0.152173 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.201504 1.243090 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.396723 -0.387482 -1.000000 0.000000 0.000000 1.000000
100.000000 -3.266298 -1.546988 -1.000000 0.000000 0.000000 1.000000
100.000000 -3.914529 0.837478 -1.000000 0.000000 0.000000 1.000000
100.000000 0.355736 -1.549306 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.001133 0.522590 -1.000000 0.000000 0.000000 1.000000
100.000000 1.150840 1.329446 -1.000000 0.000000 0.000000 1.000000
100.000000 -2.270475 -0.959878 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.344603 -0.029538 -1.000000 0.000000 0.000000 1.000000
100.000000 0.240108 0.896301 -1.000000 0.000000 0.000000 1.000000
100.000000 2.233562 0.715019 -1.000000 0.000000 0.000000 1.000000
100.000000 -3.664872 0.884899 -1.000000 0.000000 0.000000 1.000000
100.000000 4.546450 0.599979 -1.000000 0.000000 0.000000 1.000000
100.000000 0.548973 -1.135495 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.424815 1.191394 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.737490 -1.574290 -1.000000 0.000000 0.000000 1.000000
100.000000 -2.684820 2.209005 -1.000000 0.000000 0.000000 1.000000
100.000000 -1.496078 -0.096657 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.516340 -0.684288 -1.000000 0.000000 0.000000 1.000000
100.000000 1.549274 0.784944 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.281341 0.563773 -1.000000 0.000000 0.000000 1.000000
100.000000 0.355605 -0.476854 -1.000000 0.000000 0.000000 1.000000
100.000000 1.873411 -1.654696 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.612137 -1.081786 -1.000000 0.000000 0.000000 1.000000
100.000000 1.180060 0.185137 -1.000000 0.000000 0.000000 1.000000
100.000000 0.360764 0.182851 -1.000000 0.000000 0.000000 1.000000
100.000000 1.153971 -0.393340 -1.000000 0.000000 0.000000 1.000000
100.000000 -3.367471 -1.539096 -1.000000 0.000000 0.000000 1.000000
100.000000 -0.019519 -1.456547 -1.000000 0.000000 0.000000 1.000000
100.000000 0.261220 -2.731860 -1.000000 0.000000 0.000000 1.000000
100.000000 0.696392 -1.239620 -1.000000 0.000000 0.000000 1.000000
